,T1 Canada Level 3,T1 Canada Level 2,T1 International,T1 United States,T3 Canada,T3 International,T3 United States
2022-05-09 01:00:04.566412,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-09 01:10:04.041997,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 01:20:03.769488,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-09 01:30:09.060157,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 01:40:04.435597,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-09 01:50:03.739578,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-09 02:00:04.152879,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 02:10:03.843674,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 02:20:03.543269,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-09 02:30:03.394163,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 02:40:03.806912,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 02:50:03.966405,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 03:00:04.845948,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 03:10:04.311886,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 03:20:04.819906,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 03:30:04.093973,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 03:40:03.770260,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 03:50:04.192744,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 04:00:07.628682,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 04:10:08.094846,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 04:20:04.557773,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 04:30:03.477308,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 04:40:03.271512,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 04:50:08.206252,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:00:04.479607,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:10:03.272484,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:20:03.720327,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:30:03.454768,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:40:03.828187,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:50:04.029659,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:00:03.862039,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:10:04.009799,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:20:08.635224,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:30:03.497041,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:40:03.703161,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:50:03.921375,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:00:05.199273,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:10:04.884196,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:20:04.163968,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:30:03.857109,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 07:40:04.249279,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:50:08.904058,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 08:00:03.680967,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 08:10:04.137658,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 08:20:04.651318,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 08:30:03.807569,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,20-25 min,Less than 5 min,Less than 5 min
2022-05-09 08:40:04.156087,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,10-15 min
2022-05-09 08:50:04.647911,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,10-15 min
2022-05-09 09:00:04.079522,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,10-15 min
2022-05-09 09:10:04.410273,10-15 min,Less than 5 min,Less than 5 min,5-10 min,More than 30 min,Less than 5 min,10-15 min
2022-05-09 09:20:04.054399,20-25 min,Less than 5 min,Less than 5 min,25-30 min,25-30 min,Less than 5 min,10-15 min
2022-05-09 09:30:07.711024,20-25 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,5-10 min
2022-05-09 09:40:03.371695,20-25 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 09:50:03.828706,More than 30 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,5-10 min,Less than 5 min
2022-05-09 10:00:04.538185,Less than 5 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 10:10:09.020749,More than 30 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 10:20:04.367436,More than 30 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 10:30:04.062886,Less than 5 min,Less than 5 min,Less than 5 min,More than 30 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-09 10:40:04.255487,Less than 5 min,Less than 5 min,10-15 min,More than 30 min,20-25 min,Less than 5 min,Less than 5 min
2022-05-09 10:50:08.381558,25-30 min,Less than 5 min,5-10 min,More than 30 min,15-20 min,Less than 5 min,Less than 5 min
2022-05-09 11:00:04.189792,More than 30 min,Less than 5 min,20-25 min,More than 30 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 11:10:04.066612,More than 30 min,Less than 5 min,20-25 min,More than 30 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 11:20:04.590473,More than 30 min,Less than 5 min,20-25 min,25-30 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 11:30:03.526851,More than 30 min,Less than 5 min,25-30 min,More than 30 min,Less than 5 min,5-10 min,5-10 min
2022-05-09 11:40:03.906913,More than 30 min,Less than 5 min,20-25 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min
2022-05-09 11:50:04.250838,More than 30 min,Less than 5 min,25-30 min,More than 30 min,15-20 min,Less than 5 min,5-10 min
2022-05-09 12:00:03.746178,More than 30 min,Less than 5 min,20-25 min,More than 30 min,15-20 min,Less than 5 min,10-15 min
2022-05-09 12:10:03.977635,More than 30 min,Less than 5 min,25-30 min,Less than 5 min,10-15 min,Less than 5 min,10-15 min
2022-05-09 12:20:04.263224,More than 30 min,Less than 5 min,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min
2022-05-09 12:30:09.343562,More than 30 min,Less than 5 min,25-30 min,20-25 min,5-10 min,Less than 5 min,5-10 min
2022-05-09 12:40:03.358585,More than 30 min,Less than 5 min,15-20 min,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 12:50:03.668019,More than 30 min,Less than 5 min,15-20 min,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 13:00:04.470639,More than 30 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-09 13:10:03.874471,More than 30 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 13:20:04.194036,20-25 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 13:30:04.891137,20-25 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 13:40:03.660859,5-10 min,Less than 5 min,Less than 5 min,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 13:50:04.030275,5-10 min,Less than 5 min,Less than 5 min,More than 30 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 14:00:04.413336,5-10 min,Less than 5 min,Less than 5 min,More than 30 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 14:10:03.837309,5-10 min,Less than 5 min,Less than 5 min,More than 30 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 14:20:04.078673,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 14:30:04.249834,5-10 min,Less than 5 min,Less than 5 min,25-30 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 14:40:04.304709,5-10 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 14:50:03.363063,5-10 min,Less than 5 min,Less than 5 min,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 15:00:05.009889,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 15:10:04.640788,15-20 min,Less than 5 min,Less than 5 min,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 15:20:04.109815,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 15:30:04.711243,15-20 min,Less than 5 min,Less than 5 min,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 15:40:04.174986,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 15:50:03.246825,15-20 min,Less than 5 min,Less than 5 min,15-20 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 16:00:04.571632,20-25 min,Less than 5 min,Less than 5 min,15-20 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 16:10:04.110306,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 16:20:08.071449,20-25 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 16:30:04.361831,15-20 min,Less than 5 min,5-10 min,10-15 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 16:40:03.780660,5-10 min,Less than 5 min,5-10 min,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 16:50:03.787395,Less than 5 min,Less than 5 min,5-10 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 17:00:09.065141,Less than 5 min,Less than 5 min,Less than 5 min,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 17:10:04.377775,Less than 5 min,Less than 5 min,Less than 5 min,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 17:20:03.216585,Less than 5 min,Less than 5 min,Less than 5 min,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 17:30:04.157978,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 17:40:04.327741,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 17:50:03.890405,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 18:00:04.234321,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 18:10:04.050073,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 18:20:05.006735,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 18:30:04.251553,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 18:40:04.258016,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 18:50:04.475938,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 19:00:05.070763,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min
2022-05-09 19:10:09.437635,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 19:20:03.231897,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 19:30:09.077767,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 19:40:04.533872,5-10 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-09 19:50:03.953550,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min,5-10 min,5-10 min
2022-05-09 20:00:04.257176,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,5-10 min,5-10 min
2022-05-09 20:10:04.819778,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 20:20:04.216257,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,10-15 min,Less than 5 min
2022-05-09 20:30:04.822622,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,10-15 min,Less than 5 min
2022-05-09 20:40:04.137082,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 20:50:04.354831,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 21:00:05.461557,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 21:10:04.066372,Less than 5 min,Less than 5 min,Less than 5 min,20-25 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 21:20:04.208511,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 21:30:05.429491,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 21:40:04.048800,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 21:50:04.289166,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 22:00:04.595815,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 22:10:03.655163,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 22:20:03.973177,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 22:30:04.144644,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-09 22:40:03.833470,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 22:50:04.014289,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 23:00:04.037194,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 23:10:04.720607,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 23:20:04.182495,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 23:30:04.473237,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 23:40:04.122037,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 23:50:04.180878,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min
